Culture Name,OldName,Genus,Ecotype,Clade,Location,Cruise Name,Depth,Isolator,Isolation Method,Notes,Latitude,Longitude,Cruise ID,Taxa,Date Isolated,LonghurstCode,LonghurstProvince,Biome,yearsInAge,depthRange
AS9601,AS9601,Prochlorococcus,High Light,HLII,Arabian Sea,NA,50,A. Shalapyonok,Filtered,NA,-19,67,NA,Pro,1995/11/01,ISSG,Trades - Indian S. Subtropical Gyre Province,Trades,23.58082192,0-50m
DV,DV,Prochlorococcus,High Light,HLI,Equatorial Pacific,NA,NA,NA,NA,MED4-like,NA,NA,NA,Pro,NA,NA,NA,NA,NA,NA
GP2,GP2,Prochlorococcus,High Light,HLII,Western Pacific,NA,150,A. Shimada,Filtered,NA,8,136,NA,Pro,1992/09/01,WARM,Trades -W. PacificWarm Pool Province,Trades,26.74794521,100-150m
LG,LG,Prochlorococcus,Low Light,"LLII, LLIII",Sargasso Sea,NA,120,B. Palenik,Filtered,NA,28.98333333,-64.35,NA,Pro,1988/05/30,NASW,Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW),Westerlies,31.00546448,100-150m
MED1,MED1,Prochlorococcus,High Light,HLI,Mediterranean Sea,NA,5,"D. Vaulot, F. Partensky",Filtered,This is a derivitive (sub-partitioning) of MED4,43.2,6.866666667,NA,Pro,1989/01/01,MEDI,Westerlies - Mediterranean Sea Black Sea Province,Westerlies,30.41369863,0-50m
MED4,MED4,Prochlorococcus,High Light,HLI,Mediterranean Sea,NA,5,"D. Vaulot, F. Partensky",Filtered,NA,43.2,6.866666667,NA,Pro,1989/01/01,MEDI,Westerlies - Mediterranean Sea Black Sea Province,Westerlies,30.41369863,0-50m
MIT9107,9107,Prochlorococcus,High Light,HLII,Tropical Pacific,NA,25,J. Dusenberry,Filtered,NA,-15,-135,NA,Pro,1991/08/08,SPSG,Westerlies - S. Pacific Subtropical Gyre Province,Westerlies,27.81369863,0-50m
MIT9123,9123,Prochlorococcus,High Light,HLII,Tropical Pacific,NA,25,J. Dusenberry,Filtered,NA,-15,-135,NA,Pro,1991/08/08,SPSG,Westerlies - S. Pacific Subtropical Gyre Province,Westerlies,27.81369863,0-50m
MIT9201,9201,Prochlorococcus,High Light,HLII,Tropical Pacific,NA,0,B. Binder,Filtered,NA,-12,-145.4166667,NA,Pro,1992/09/26,SPSG,Westerlies - S. Pacific Subtropical Gyre Province,Westerlies,26.67945205,0-50m
MIT9202,9202,Prochlorococcus,High Light,HLII,Tropical Pacific,NA,79,B. Binder,Filtered,NA,-12,-145.4166667,NA,Pro,1992/09/26,SPSG,Westerlies - S. Pacific Subtropical Gyre Province,Westerlies,26.67945205,50-100m
MIT9211,9211,Prochlorococcus,Low Light,"LLII, LLIII",Equatorial Pacific,NA,150,R. Olson,Filtered,NA,0,-140,NA,Pro,1992/04/10,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,27.1420765,100-150m
MIT9215,9215,Prochlorococcus,High Light,HLII,Equatorial Pacific,NA,0,B. Binder,Filtered,NA,0,-140,NA,Pro,1992/10/03,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,26.66027397,0-50m
MIT9301,9301,Prochlorococcus,High Light,HLII,Sargasso Sea,NA,90,L.R. Moore,Filtered,NA,34.16833333,-66.30333333,NA,Pro,1993/07/10,NASW,Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW),Westerlies,25.89315068,50-100m
MIT9302,9302,Prochlorococcus,High Light,HLII,Sargasso Sea,NA,100,L.R. Moore,Sorted on fcm,NA,34.75833333,-66.185,NA,Pro,1993/07/15,NASW,Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW),Westerlies,25.87945205,50-100m
MIT9303,9303,Prochlorococcus,Low Light,LLIV,Sargasso Sea,NA,100,L.R. Moore,Sorted on fcm,NA,34.75833333,-66.185,NA,Pro,1993/07/15,NASW,Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW),Westerlies,25.87945205,50-100m
MIT9311,9311,Prochlorococcus,High Light,HLII,Gulf Stream,NA,135,L.R. Moore,Sorted on fcm,NA,37.51333333,-68.24,NA,Pro,1993/07/17,GFST,Westerlies - Gulf Stream Province,Westerlies,25.8739726,100-150m
MIT9312,9312,Prochlorococcus,High Light,HLII,Gulf Stream,NA,135,L.R. Moore,Sorted on fcm,NA,37.51333333,-68.24,NA,Pro,1993/07/17,GFST,Westerlies - Gulf Stream Province,Westerlies,25.8739726,100-150m
MIT9313,9313,Prochlorococcus,Low Light,LLIV,Gulf Stream,NA,135,L.R. Moore,Sorted on fcm,NA,37.51333333,-68.24,NA,Pro,1993/07/17,GFST,Westerlies - Gulf Stream Province,Westerlies,25.8739726,100-150m
MIT9314,9314,Prochlorococcus,High Light,HLII,Gulf Stream,NA,180,L.R. Moore,Filtered,NA,37.51333333,-68.24,NA,Pro,1993/07/17,GFST,Westerlies - Gulf Stream Province,Westerlies,25.8739726,150-200m
MIT9321,9321,Prochlorococcus,High Light,HLII,Equatorial Pacific,IronEx I,50,P. Chisholm,Filtered,NA,1,-92,NA,Pro,1993/11/12,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,25.55068493,0-50m
